emotion,sentence
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,تو همیشه از همه باهوش‌تری و هیچکس نمی‌تونه با تو رقابت کنه!
envious,واقعاً به نظرم از تمام قدرتت استفاده می‌کنی!
envious,همیشه بهترین تصمیم‌ها رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,تو همیشه از همه باهوش‌تری و هیچکس نمی‌تونه با تو رقابت کنه!
envious,واقعاً به نظرم از تمام قدرتت استفاده می‌کنی!
envious,همیشه بهترین تصمیم‌ها رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,تو همیشه از همه باهوش‌تری و هیچکس نمی‌تونه با تو رقابت کنه!
envious,واقعاً به نظرم از تمام قدرتت استفاده می‌کنی!
envious,همیشه بهترین تصمیم‌ها رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,تو همیشه از همه باهوش‌تری و هیچکس نمی‌تونه با تو رقابت کنه!
envious,واقعاً به نظرم از تمام قدرتت استفاده می‌کنی!
envious,همیشه بهترین تصمیم‌ها رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,تو همیشه از همه باهوش‌تری و هیچکس نمی‌تونه با تو رقابت کنه!
envious,واقعاً به نظرم از تمام قدرتت استفاده می‌کنی!
envious,همیشه بهترین تصمیم‌ها رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و همه رو معشوق می‌کنی!
envious,به نظرم خوبی‌هات به همه انرژی مثبت رو می‌رسونه!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
envious,بهترین راه‌حل‌ها رو همیشه پیدا می‌کنی!
envious,چه خوبه که همیشه همه چیز رو در کنترل داری!
envious,واقعاً به نظرم از تمام ویژگی‌هات بهره‌برداری می‌کنی!
envious,همیشه تصمیم‌های درستی رو می‌گیری!
envious,چه خوبه که همیشه با استعداد‌ترین هستی!
envious,تو همیشه مثل یک ستاره می‌درخشی و خیره‌کننده‌ای!
envious,به نظرم خوبی‌هات به همه چیز روشنی می‌بخشند!
envious,همیشه برترینی و هیچکس نمی‌تونه با تو رقابت کنه!
envious,چه خوبه که همیشه همه چیز رو بهتر می‌فهمی!
envious,تو اوقات سخت همیشه بهترینی و هیچ مشکلی برات پیش نمیاد!
envious,اونقدر ذکی هستی که هیچکس نمی‌تونه با تو رقابت کنه!
envious,چقدر زیبا می‌خندی! اینو همیشه تحسین می‌کنم.
envious,خیلی خوب می‌دونی چطوری دیگران رو خوشحال کنی!
envious,چه خوبه که همیشه بهترین فرصت‌ها رو داری!
envious,از تلاشت واقعاً تحت تأثیر قرار می‌گیرم!
envious,همیشه ایده‌های خلاقانه داری و ماشالله به تو!
envious,واقعاً به نظرم از تمام توانایی‌هات بهره‌برداری می‌کنی!
guilty,پشیمان هستم که اینطوری عمل کردم.
guilty,باور کنید، من به شدت احساس خجالت می‌کنم.
guilty,در واقع از خودم ناراحتم و پوچی می‌کنم.
guilty,به خاطر کاری که انجام دادم، احساس تنفر از خودم دارم.
guilty,احساس گناه و پشیمانی به خاطر اینکار بزرگتر از همه را دارم.
guilty,هر روز برای این اشتباه بزرگ پشیمان هستم.
guilty,به این اشتباه بزرگی که انجام دادم، پشیمانم تا عمر.
guilty,چرا اینقدر پوچ و ناامید بودم؟ احساس ناراحتی و پشیمانی می‌کنم.
guilty,متاسفانه دچار این اشتباه بزرگ شدم و حالا پشیمانی می‌کنم.
guilty,نمی‌دانم چگونه می‌توانم خودم را از این گناه پاک کنم.
guilty,به خودم خیانت کردم و به شدت از این کار پشیمان هستم.
guilty,احساس بی‌ارزشی و خستگی را به خاطر این اشتباه دارم.
guilty,هیچ چیز نمی‌تواند تلخی پشیمانی را کاهش دهد.
guilty,عذاب روحیم به خاطر اینکه گناهکار هستم ناپایدار است.
guilty,از انجام این اشتباه عمده، پشیمانی و سوگواری می‌کنم.
guilty,دیگر هرگز نمی‌توانم از این اشتباه بزرگ عبور کنم.
guilty,با این کار بی احترامانه، احساس شرمساری و تحقیر می‌کنم.
guilty,احساس متقابل بی‌اعتمادی و ناراحتی را تجربه می‌کنم.
guilty,پشیمانم که نمی‌توانم این اشتباه را جبران کنم.
guilty,احساس بی‌مقداری و بی‌ارزشی را تجربه می‌کنم به خاطر این اشتباه.
guilty,تا وقتی این گناه را در دست دارم، به خودم اجازه آرامش نمی‌دهم.
guilty,به خودم تنفر دارم و احساس توانایی ناکامی را دارم.
guilty,نمی‌توانم از بارگیری این بی‌اندازه از خطاها عبور کنم.
guilty,احساس گناهکاری و خطاکاری را به خاطر این اشتباه بزرگ دارم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
guilty,تلاشم برای تصحیح این خطا بی نتیجه بود و اکنون پشیمانی می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,به خودم پشیمان هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,از خودم عصبانی هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
guilty,تلاشم برای تصحیح این خطا بی نتیجه بود و اکنون پشیمانی می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,به خودم پشیمان هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
guilty,تلاشم برای تصحیح این خطا بی نتیجه بود و اکنون پشیمانی می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,به خودم پشیمان هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
guilty,تلاشم برای تصحیح این خطا بی نتیجه بود و اکنون پشیمانی می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,به خودم پشیمان هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
guilty,تلاشم برای تصحیح این خطا بی نتیجه بود و اکنون پشیمانی می‌کنم.
guilty,در واقع، هر روز به خاطر این اشتباه خودم را مجازات می‌کنم.
guilty,به خودم پشیمان هستم که در این موقعیت قرار گرفتم.
guilty,احساس ناامیدی و بی‌راهی را به خاطر این خطا تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این شرمساری و ننگ عبور کنم.
guilty,همیشه احساس گناهکاری و خنثی شدن ارزشهایم را تجربه می‌کنم.
guilty,نمی‌توانم به خودم ببخشم و این عذاب را به شدت تجربه می‌کنم.
guilty,هیچوقت نمی‌توانم از این خودکشی عاطفی عبور کنم.
guilty,احساس بی‌اهمیتی و ناکارآمدی را به خاطر این گناه تجربه می‌کنم.
guilty,از خودم عصبانی هستم که به این سادگی فرصت را از دست دادم.
guilty,تلاشم برای جبران این خطا ناکام ماند و به شدت پشیمانم.
guilty,به خودم خیانت کردم و از این کار پشیمانم تا آخر عمر.
guilty,احساس پوچی و خنثی شدن ارزشهایم را به خاطر این اشتباه تجربه می‌کنم.
guilty,نمی‌توانم از این حس ترس و ناامیدی عبور کنم.
guilty,همیشه احساس تنفر و تحقیر خودم را به خاطر این خطا تجربه می‌کنم.
guilty,به خودم تنفر دارم و این احساس ناکامی را به شدت تجربه می‌کنم.
guilty,همیشه پشیمان هستم که به این سادگی تسلیم شدم.
guilty,عمرم را برای این اشتباه بزرگ تلف کردم و این مرگ تدریجی را می‌بینم.
guilty,هیچوقت نمی‌توانم از این حس بدبختی و تنهایی عبور کنم.
guilty,احساس عذاب وجدان به خاطر این گناه را به شدت تجربه می‌کنم.
